Potential Fraud Cases for Over_and_Undersampled Random Forest run

        Class  Amount_Scaled  Time_Scaled
17453       1       1.089779    -0.657503
154877      1      -0.286173     0.220433
249607      1       0.181653     0.820040
10630       1      10.401174    -0.785418
96994       1      -0.202194    -0.219164
14170       1       1.089779    -0.698951
191544      1       0.823028     0.524160
150663      1       4.108992     0.107626
31002       1       1.253406    -0.570049
53794       1      -0.293440    -0.452813
18472       1      -0.297911    -0.648046
216239      1       1.403479     0.654460
80760       1       1.284427    -0.306042
111690      1       3.030811    -0.145267
279863      1       5.142178     0.992140
189487      1      -0.296653     0.513751
46998       1       2.546915    -0.489479
11880       1      -0.293440    -0.754720
154718      1      -0.307413     0.211198
234574      1      -0.307413     0.744088
40525       1      -0.293440    -0.521811
73784       1      -0.293440    -0.345552
223578      1      -0.183050     0.690163
9512        1      -0.293440    -0.828628
218442      1       2.426605     0.665280
105178      1      -0.293440    -0.179725
142405      1      -0.135401     0.000023
12938       1       0.950045    -0.727934
161975      1      -0.085517     0.352647
15451       1       1.089779    -0.679742
124115      1      -0.293440    -0.088229
76929       1      -0.293440    -0.327612
188857      1       0.974359     0.510709
167107      1       1.482708     0.397056
189587      1       0.641375     0.514327
99506       1       6.535457    -0.206088
212644      1       9.863900     0.637343
6717        1      -0.293440    -0.896204
23308       1      -0.307413    -0.610980
92777       1       3.813317    -0.242002
151007      1      -0.293440     0.113606
40085       1      -0.293440    -0.524043
42528       1       4.445050    -0.511684
272633      1      -0.293440     0.945723
163149      1      -0.069028     0.364184
13617       1       0.950045    -0.711616
13942       1       0.950045    -0.704390
42936       1       0.526514    -0.509722
262560      1      -0.241878     0.891047
82400       1      -0.042199    -0.297313
228505      1      -0.296653     0.714835
12070       1      -0.293440    -0.749081
223618      1      -0.293440     0.690375
6338        1      -0.293440    -0.906272
41395       1      -0.293440    -0.517276
249963      1      -0.296653     0.821967
120085      1       1.228254    -0.105570
83417       1      -0.224831    -0.291968
6870        1      -0.293440    -0.892104
11343       1      -0.293440    -0.762814
184379      1       0.041920     0.487870
30314       1      -0.201076    -0.573620
116139      1       0.767694    -0.123744
8845        1       0.117236    -0.852888
222133      1       1.715923     0.683138
74507       1       1.515266    -0.341569
237426      1      -0.293440     0.758280
44254       1       0.950045    -0.503154
150661      1       0.319989     0.107626
261473      1      -0.238944     0.885137
18773       1      -0.297911    -0.645438
255403      1      -0.237965     0.851925
43773       1       2.100468    -0.505716
42009       1       1.262209    -0.514257
143728      1      -0.293440     0.010350
235644      1       1.406833     0.749386
16780       1       1.089779    -0.664352
9489        1      -0.293440    -0.829568
10891       1       2.330469    -0.775585
241254      1      -0.177601     0.778404
41943       1      -0.296793    -0.514574
6334        1      -0.293440    -0.906460
266434      1      -0.296653     0.912135
274468      1      -0.279466     0.955498
150697      1       1.047998     0.108413
88307       1       2.207783    -0.265652
44001       1      10.906449    -0.504576
213116      1      -0.191434     0.639399
64329       1       1.089779    -0.394507
61966       1      -0.293440    -0.406783
13624       1       0.950045    -0.711322
57615       1      -0.296793    -0.431279
154697      1      -0.201355     0.210682
152223      1      -0.186683     0.146019
143336      1       3.226717     0.006967
123301      1      -0.293440    -0.091824
120505      1       1.087822    -0.103866
150692      1       0.222595     0.108225
17407       1       1.089779    -0.657902
64411       1       1.089779    -0.394236
27749       1      -0.041640    -0.587472
150667      1       0.782505     0.107708
154454      1       1.758821     0.198604
151519      1      -0.284636     0.128479
46918       1       8.747293    -0.489949
188416      1      -0.296653     0.508371
15225       1       1.089779    -0.682656
243547      1       0.499266     0.790423
42945       1      -0.296793    -0.509686
42674       1      -0.286173    -0.511026
45732       1      -0.293440    -0.495988
10906       1       0.950045    -0.775185
212516      1      -0.307273     0.636779
68454       1      -0.293440    -0.372361
41569       1      -0.293440    -0.516336
151006      1      -0.293440     0.113606
150644      1       0.752603     0.107273
30473       1      -0.105359    -0.572728
149357      1       0.234193     0.074989
238222      1      -0.292042     0.762344
167184      1       1.172221     0.397561
12261       1      -0.293440    -0.743348
86155       1       1.110878    -0.277071
229712      1      -0.290924     0.720521
79536       1      -0.293440    -0.312797
271571      1      -0.296653     0.939215
164455      1      -0.296653     0.376367
267760      1      -0.296653     0.918996
64460       1       1.089779    -0.394001
16110       1      -0.293440    -0.671624
203442      1      -0.296653     0.588905
280143      1      -0.296793     0.994549
17322       1       0.950045    -0.658678
77387       1       5.899113    -0.325016
154676      1      -0.275554     0.209706
42769       1       1.345630    -0.510521
44556       1      -0.293440    -0.501662
141257      1      -0.307413    -0.005733
151011      1      -0.293440     0.113629
6774        1      -0.293440    -0.894794
223366      1      -0.293440     0.689176
139740      1      -0.307413    -0.016048
13499       1       0.950045    -0.714165
10456       1      -0.293440    -0.794746
9509        1      -0.293440    -0.828722
201098      1      -0.307413     0.576123
42549       1       0.925452    -0.511578
18125       1       0.950045    -0.651852
96789       1       1.110878    -0.220350
230476      1       1.017537     0.724304
8335        1      -0.293440    -0.864214
14920       1      -0.293440    -0.686979
128479      1       0.530986    -0.070102
9179        1      -0.293440    -0.840776
50211       1      -0.293440    -0.473443
6734        1      -0.293440    -0.895699
6719        1      -0.293440    -0.896122
204255      1      -0.296653     0.593275
203700      1      -0.307413     0.590186
159744      1      -0.254454     0.331160
52584       1      -0.293440    -0.459956
276061      1      -0.296653     0.965542
143188      1      -0.279466     0.005745
167305      1       1.172221     0.398395
16851       1      -0.293440    -0.663295
235634      1      -0.296793     0.749351
88897       1      -0.292042    -0.262585
102446      1      -0.293440    -0.193670
77682       1      -0.293440    -0.323418
17366       1       1.089779    -0.658302
244004      1      -0.293440     0.792690
18466       1      -0.297911    -0.648104
30398       1      -0.179837    -0.573151
46909       1      -0.293440    -0.489985
114271      1      -0.077133    -0.132567
14197       1       1.089779    -0.698563
30100       1       0.539370    -0.574737
172787      1       1.713407     0.429352
63421       1       1.089779    -0.399276
150668      1       2.326836     0.107708
30384       1      -0.293440    -0.573233
30442       1      -0.243695    -0.572916
147548      1      -0.290924     0.046758
125342      1       1.186334    -0.083001
27627       1      -0.042479    -0.588094
151008      1      -0.293440     0.113606
149864      1      -0.293440     0.086878
107067      1       4.137637    -0.169433
154633      1       0.000559     0.207075
274475      1       0.250122     0.955556
108708      1       5.650807    -0.160469
226814      1       9.020471     0.706258
153835      1      -0.293440     0.183343
123238      1      -0.293440    -0.092048
123201      1      -0.293440    -0.092189
120837      1       1.088521    -0.102374
42609       1       0.857682    -0.511308
219611      1      -0.296653     0.670920
123270      1      -0.293440    -0.091930
150678      1       0.116118     0.107931
30496       1       1.253406    -0.572598
122479      1       2.763921    -0.095361
243749      1      -0.293440     0.791433
272635      1      -0.293440     0.945723
43624       1       0.243834    -0.506467
154371      1      -0.275554     0.195268
13833       1       0.950045    -0.706775
185669      1      -0.296653     0.494284
6108        1       0.517013    -0.912910
149869      1      -0.055893     0.086937
156988      1      -0.307413     0.289066
15781       1       1.089779    -0.675208
149600      1       3.342695     0.080617
102441      1      -0.293440    -0.193670
68522       1      -0.296793    -0.371962
248971      1      -0.296793     0.816375
76609       1      -0.202334    -0.329445
157871      1       0.813526     0.303810
116404      1       4.042199    -0.122534
238366      1      -0.279466     0.763026
234633      1      -0.285195     0.744381
6903        1      -0.293440    -0.890588
6609        1      -0.293440    -0.899940
223572      1      -0.293440     0.690116
15506       1       1.089779    -0.678967
221018      1       4.164186     0.677898
42887       1       0.214071    -0.509957
541         1      -0.307413    -0.990214
79883       1       3.465381    -0.310976
6641        1      -0.293440    -0.899012
44270       1      -0.293440    -0.503084
248296      1      -0.307413     0.812780
17317       1       1.089779    -0.658690
183106      1      -0.307413     0.481279
163586      1       0.600852     0.368602
251477      1      -0.296653     0.830214
203324      1      -0.293440     0.588282
12922       1       0.950045    -0.728416
79835       1      -0.282960    -0.311247
244333      1      -0.293440     0.794358
15810       1       1.089779    -0.674820
230076      1      -0.296653     0.722365
229443      1      -0.296653     0.719393
52466       1      -0.293440    -0.460872
42635       1      -0.148397    -0.511178
234632      1      -0.285195     0.744381
261925      1       1.872424     0.887593
53591       1      -0.293440    -0.453894
159229      1      -0.053099     0.325215
203328      1      12.622232     0.588318
192584      1       4.758611     0.529517
12229       1       0.950045    -0.743841
263274      1      -0.296653     0.894959
6331        1      -0.293440    -0.906566
12030       1      -0.293440    -0.750350
137705      1      -0.293440    -0.028231
42590       1      -0.233354    -0.511378
150680      1       1.146231     0.107931
191587      1      -0.296653     0.524442
13394       1       0.950045    -0.716961
9258        1      -0.293440    -0.838367
235616      1      -0.296793     0.749257
172818      1      -0.159156     0.429505
19145       1       0.950045    -0.641984
81186       1       0.330329    -0.303927
153885      1      -0.296793     0.185728
44223       1       1.647453    -0.503307
221041      1      -0.279466     0.678074
251904      1       1.017537     0.832505
192529      1      -0.293440     0.529247
15166       1       1.089779    -0.683384
10897       1      -0.293440    -0.775409
10681       1       0.950045    -0.782763
8842        1      -0.307413    -0.852912
262826      1      -0.296653     0.892550
77099       1      -0.237546    -0.326660
263324      1       1.469154     0.895253
266590      1      -0.296653     0.912934
10568       1      -0.293440    -0.789154
148908      1      -0.296653     0.065919
149865      1      -0.293440     0.086878
42473       1      -0.254454    -0.511942
150647      1      -0.188081     0.107285
73857       1      -0.295815    -0.345176
45203       1      -0.293440    -0.498655
15539       1       1.089779    -0.678591
151462      1      -0.284636     0.127668
214662      1       1.376930     0.647035
149522      1       0.428841     0.078890
150677      1       0.116118     0.107931
10620       1       0.950045    -0.785994
8625        1      -0.293440    -0.858222
27738       1       1.443443    -0.587507
154668      1      -0.307413     0.208978
43432       1       0.950045    -0.507337
243848      1      -0.293440     0.791903
150687      1      -0.293440     0.108143
272636      1      -0.293440     0.945723
94218       1       9.758681    -0.233873
102442      1      -0.293440    -0.193670
12108       1      -0.293440    -0.747730
150715      1      -0.148117     0.108942
202443      1       0.210578     0.583172
9252        1      -0.293440    -0.838461
140786      1      -0.293440    -0.008905
243699      1      -0.293440     0.791175
57470       1      -0.296793    -0.431972
42696       1       0.925452    -0.510920
157868      1      -0.296793     0.303751
251866      1      -0.252917     0.832282
144104      1      -0.293440     0.013769
154719      1      -0.307413     0.211222
150654      1      -0.307273     0.107403
43681       1       0.446447    -0.506174
12369       1      -0.293440    -0.740493
192731      1      -0.201635     0.530269
252124      1      -0.296653     0.833774
43418       1      -0.293440    -0.507419
149587      1      -0.293440     0.080264
28976       1      -0.269825    -0.580728
59539       1      -0.031719    -0.420682
204064      1       4.513379     0.592147
8296        1      -0.293440    -0.864813
226877      1      -0.307413     0.706622
12156       1       0.950045    -0.746191
42741       1       6.107315    -0.510638
42958       1      -0.167819    -0.509628
261056      1       0.328513     0.882905
15736       1       1.089779    -0.675866
143335      1       3.226717     0.006967
43428       1       4.781527    -0.507372
263877      1      -0.302103     0.898295
88258       1      -0.214910    -0.265898
6427        1      -0.293440    -0.905579
102443      1      -0.293440    -0.193670
141260      1       6.850416    -0.005733
93424       1      -0.293440    -0.238255
150684      1      -0.293440     0.108037
75511       1       2.080905    -0.335930
215132      1       9.798225     0.649197
143333      1      -0.307413     0.006967
143731      1       3.056941     0.010385
47802       1       0.922239    -0.485473
8617        1      -0.293440    -0.858293
149773      1      -0.293440     0.084658
42856       1       2.110948    -0.510098
9487        1      -0.293440    -0.829650
141258      1      -0.307413    -0.005733
255556      1      -0.296653     0.852830
154670      1       1.145812     0.209084
154960      1      -0.275693     0.224580
123141      1       3.252428    -0.092412
18649       1      -0.293440    -0.646483
95597       1      18.615944    -0.226824
190368      1       2.150493     0.518227
6446        1      -0.293440    -0.904851
9035        1      -0.293440    -0.846991
42756       1      -0.307413    -0.510568
8615        1      -0.293440    -0.858363
17480       1       1.089779    -0.657162
44091       1       1.089779    -0.504012
117974      1      -0.139593    -0.115098
192382      1      -0.279466     0.528390
15566       1       1.089779    -0.678239
69980       1      -0.307413    -0.364595
43061       1       0.169357    -0.509158
11841       1      -0.293440    -0.756118
102445      1      -0.293440    -0.193670
12468       1       0.950045    -0.738167
177195      1      -0.153706     0.450969
150669      1       2.326836     0.107708
26802       1      -0.041640    -0.592535
153823      1      -0.275554     0.182462
150660      1       0.319989     0.107626
237107      1      -0.307413     0.756635
77348       1      -0.307273    -0.325251
17916       1       0.950045    -0.653932
63634       1       1.089779    -0.398078
189701      1       0.996996     0.514891
6899        1      -0.293440    -0.890682
10690       1      16.724516    -0.782481
70589       1       3.351778    -0.361318
43160       1       3.507441    -0.508641
102444      1      -0.293440    -0.193670
150601      1      -0.293440     0.106322
144108      1       4.030182     0.013804
217549      1      -0.296653     0.660746
11710       1      -0.293440    -0.759889
154693      1      -0.293440     0.210611
198868      1      -0.293440     0.563869----------------------------------------------------------
